year,fage,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,e) 4,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,f) 5,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,g) 6 to 10,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,h) 11 to 15,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,i) 16 to 20,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,j) 21 to 25,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,k) 26+,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,l) Left Censored,a) 1 to 4,1473301,1478838,3563503,3719555,54260,3.441,250660,15.894,736532,122286,614246,3.288,19.802,1040227,650363,389864,17.485,27.966,-303695,-8.165,39.603,202671,203447,537313
1978,l) Left Censored,b) 5 to 9,573105,589514,4060356,4005777,8712,1.462,21272,3.570,758632,62284,696348,1.555,18.938,651400,248454,402946,6.202,16.262,107232,2.677,32.523,15473,16291,204840
1978,l) Left Censored,c) 10 to 19,348489,384432,4965557,4847604,8080,2.091,12186,3.153,891969,76044,815925,1.569,18.400,656271,218931,437340,4.516,13.538,235698,4.862,27.076,6349,7241,170306
1978,l) Left Censored,d) 20 to 99,282053,400815,11558888,11171425,19293,4.810,19790,4.934,2139937,273676,1866261,2.450,19.155,1366135,463035,903100,4.145,12.229,773802,6.927,24.458,3677,5026,267930
1978,l) Left Censored,e) 100 to 499,43848,159248,8590887,8328479,16272,10.214,16409,10.300,1705678,380991,1324687,4.575,20.480,1182656,454095,728561,5.452,14.200,523022,6.280,28.400,314,863,113255
1978,l) Left Censored,f) 500 to 999,5429,51187,3314927,3240369,5985,11.721,5735,11.231,632730,180936,451794,5.584,19.526,483979,213741,270238,6.596,14.936,148751,4.591,29.872,26,63,37945
1978,l) Left Censored,g) 1000 to 2499,3322,65137,4241799,4155051,7887,12.105,7923,12.160,749677,248074,501603,5.970,18.043,576738,275636,301102,6.634,13.880,172939,4.162,27.761,12,75,37121
1978,l) Left Censored,h) 2500 to 4999,1351,53835,3263720,3204977,6243,11.623,5999,11.169,563237,209644,353593,6.541,17.574,445986,202469,243517,6.317,13.915,117251,3.658,27.831,(D),(D),(D)
1978,l) Left Censored,i) 5000 to 9999,804,48458,3508638,3417718,6251,13.061,5052,10.556,627186,224691,402495,6.574,18.351,445707,177610,268097,5.197,13.041,181479,5.310,26.082,(D),(D),(D)
1978,l) Left Censored,j) 10000+,677,217097,17294713,16986267,22151,10.314,17483,8.141,2475979,769440,1706539,4.530,14.576,1855993,634449,1221544,3.735,10.926,619986,3.650,21.853,(D),(D),(D)
1979,a) 0,a) 1 to 4,417766,419199,1101923,550968,419199,199.999,0,0,1101923,1101923,0,199.998,199.998,0,0,0,0,0,1101910,199.995,0,0,0,0
1979,a) 0,b) 5 to 9,32730,33696,430313,215163,33696,199.994,0,0,430314,430313,0,199.994,199.994,0,0,0,0,0,430301,199.988,0,0,0,0
1979,a) 0,c) 10 to 19,12308,13066,329066,164533,13066,200.000,0,0,329066,329066,0,200.000,200.000,0,0,0,0,0,329066,200.000,0,0,0,0
1979,a) 0,d) 20 to 99,5910,6976,409076,204538,6976,200.000,0,0,409076,409076,0,200.000,200.000,0,0,0,0,0,409076,200.000,0,0,0,0
1979,a) 0,e) 100 to 499,355,712,118348,59174,712,200.000,0,0,118348,118348,0,200.000,200.000,0,0,0,0,0,118348,200.000,0,0,0,0
1979,a) 0,f) 500 to 999,21,117,25539,12770,117,200.000,0,0,25539,25539,0,200.000,200.000,0,0,0,0,0,25539,200.000,0,0,0,0
1979,a) 0,g) 1000 to 2499,7,105,14586,7293,105,200.000,0,0,14586,14586,0,200.000,200.000,0,0,0,0,0,14586,200.000,0,0,0,0
1979,a) 0,h) 2500 to 4999,3,3,330,165,3,200.000,0,0,330,330,0,200.000,200.000,0,0,0,0,0,330,200.000,0,0,0,0
1979,a) 0,i) 5000 to 9999,(D),(D),(D),(D),(D),(D),0,0,(D),(D),0,(D),(D),0,0,0,0,0,(D),(D),0,0,0,0
1979,a) 0,j) 10000+,(D),(D),(D),(D),(D),(D),0,0,(D),(D),0,(D),(D),0,0,0,0,0,(D),(D),0,0,0,0
1979,b) 1,a) 1 to 4,251542,252345,580544,668508,433,0.142,105068,34.487,170420,959,169461,0.143,25.493,338479,255311,83168,38.191,50.632,-168059,-25.139,50.985,83647,83741,206166
1979,b) 1,b) 5 to 9,60658,61952,447484,452947,324,0.495,7226,11.048,149415,1359,148056,0.300,32.987,160935,93133,67802,20.562,35.531,-11520,-2.543,65.975,5716,5757,75199
1979,b) 1,c) 10 to 19,28509,30220,425364,414597,310,0.989,2553,8.146,141742,2302,139440,0.555,34.188,120204,62683,57521,15.119,28.993,21538,5.195,57.986,1878,1934,49661
1979,b) 1,d) 20 to 99,16933,20138,690390,658635,671,3.265,1503,7.312,226645,10481,216164,1.591,34.411,163594,75677,87917,11.490,24.838,63051,9.573,49.677,822,936,55407
1979,b) 1,e) 100 to 499,1266,2413,235296,221896,184,7.676,152,6.341,77506,9310,68196,4.196,34.929,50718,19981,30737,9.005,22.857,26788,12.072,45.713,46,60,13672
1979,b) 1,f) 500 to 999,66,358,45219,40753,99,31.280,16,5.055,15133,3113,12020,7.639,37.133,5837,1897,3940,4.655,14.323,9296,22.811,28.646,0,0,0
1979,b) 1,g) 1000 to 2499,25,522,29517,25518,40,7.813,(D),(D),12288,4198,8090,16.451,48.154,4548,(D),3515,(D),17.823,7740,30.332,35.645,0,0,0
1979,b) 1,h) 2500 to 4999,5,46,7318,7197,(D),(D),(D),(D),310,(D),102,(D),4.308,81,(D),33,(D),1.126,229,3.182,2.251,0,0,0
1979,b) 1,i) 5000 to 9999,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0
1979,b) 1,j) 10000+,6,45,3348,2976,39,152.941,0,0.000,704,704,(D),23.660,23.660,0,0,(D),0.000,0.000,704,23.660,0.000,0,0,0
1979,c) 2,a) 1 to 4,202607,203177,470558,512822,12220,5.489,51095,22.952,123974,28866,95108,5.629,24.175,207478,134932,72546,26.312,40.458,-83504,-16.283,48.350,40495,40570,108636
1979,c) 2,b) 5 to 9,56841,58186,405453,409406,971,1.624,4201,7.025,105803,9650,96153,2.357,25.843,114158,52461,61697,12.814,27.884,-8355,-2.041,51.686,3175,3257,42025
1979,c) 2,c) 10 to 19,28641,30878,410214,407905,625,1.985,1846,5.862,104638,8842,95796,2.168,25.653,99873,41983,57890,10.292,24.484,4765,1.168,48.969,1265,1356,33684
1979,c) 2,d) 20 to 99,17493,21994,684955,670870,875,3.946,1231,5.552,171833,17351,154482,2.586,25.613,143633,54058,89575,8.058,21.410,28200,4.204,42.820,571,638,39387
1979,c) 2,e) 100 to 499,1498,3719,276706,265967,422,11.603,258,7.094,73489,16671,56818,6.268,27.631,52189,16053,36136,6.036,19.622,21300,8.009,39.245,27,43,8526
1979,c) 2,f) 500 to 999,79,419,48970,49206,54,12.371,89,20.389,12108,3675,8433,7.469,24.607,12403,4692,7711,9.536,25.207,-295,-0.600,49.214,(D),(D),(D)
1979,c) 2,g) 1000 to 2499,27,354,25636,25271,158,55.732,17,5.996,6516,3449,3067,13.648,25.785,5721,813,4908,3.217,22.639,795,3.146,45.278,0,0,0
1979,c) 2,h) 2500 to 4999,7,579,12205,10522,55,9.946,(D),(D),3995,3161,834,30.042,37.968,488,(D),478,(D),4.638,3507,33.330,9.276,0,0,0
1979,c) 2,i) 5000 to 9999,5,36,7856,6436,29,134.884,0,0.000,2876,2247,(D),34.913,44.686,6,0,(D),0.000,0.093,2870,44.593,0.186,0,0,0
1979,c) 2,j) 10000+,5,57,14532,15105,3,5.128,(D),(D),1302,194,(D),1.284,8.620,2420,(D),(D),(D),16.022,-1118,-7.402,17.240,0,0,0
1979,d) 3,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,d) 3,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,e) 4,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,f) 5,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,g) 6 to 10,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,g) 6 to 10,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,g) 6 to 10,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,g) 6 to 10,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,g) 6 to 10,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1979,g) 6 to 10,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
